error,gravedad,clase
"Cuando me dolor sit amet en la loren ipsum",menor,herida
"El eget elit que me enim cursus cuando donec neque",menor,herida
"La vez que etiam eusimod dui at en la efficitur",menor,fracaso
"Donec at ipsum eu ante pretium",menor,fracaso
"Nunc efficitur libero placerat",menor,fracaso
"Fusce maximus dui eu rutrum",menor,desamor
"Quisque in risus non sem sagittis",menor,desamor
"Phasellus pharetra orci in maximus",menor,mentira
"Aliquam gravida tellus vel efficitur",menor,mentira
"Mauris pharetra tortor eget molestie",peor,herida
"In non sapien eu augue porta malesuada",peor,herida
"In feugiat lacus eu mauris venenatis",peor,fracaso
"Ut imperdiet nisl non eros pulvinar",peor,fracaso
"Nam fringilla mauris maximus convallis",peor,desamor
"Duis gravida sapien nec auctor bibendum",peor,desamor
"Cras tincidunt mauris quis tempor",peor,mentira
"Etiam euismod dui at euismod pharetra",peor,mentira
"Cuando dije que sí me interesaba el maximus convallis",peor,mentira
"Etiam euismod dui at euismod pharetra",peor,mentira
